Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
PWR,Quanta Services,Industrials,Construction & Engineering,Aktuell,
QCOM,Qualcomm,Information Technology,Semiconductors,Aktuell,
DGX,Quest Diagnostics,Health Care,Health Care Services,Aktuell,
"RL,Ralph Lauren Corporation,Consumer Discretionary,""Apparel, Accessories & Luxury Goods"",Aktuell,"
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,Aktuell,
RTX,RTX Corporation,Industrials,Aerospace & Defense,Aktuell,
O,Realty Income,Real Estate,Retail REITs,Aktuell,
REG,Regency Centers,Real Estate,Retail REITs,Aktuell,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,Aktuell,
RF,Regions Financial Corporation,Financials,Regional Banks,Aktuell,
RSG,Republic Services,Industrials,Environmental & Facilities Services,Aktuell,
RMD,ResMed,Health Care,Health Care Equipment,Aktuell,
RVTY,Revvity,Health Care,Health Care Equipment,Aktuell,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,Aktuell,
"ROL,""Rollins, Inc."",Industrials,Environmental & Facilities Services,Aktuell,"
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,Aktuell,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Aktuell,
"RCL,Royal Caribbean Group,Consumer Discretionary,""Hotels, Resorts & Cruise Lines"",Aktuell,"
SPGI,S&P Global,Financials,Financial Exchanges & Data,Aktuell,
CRM,Salesforce,Information Technology,Application Software,Aktuell,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,Aktuell,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,Aktuell,
"STX,Seagate Technology,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
SRE,Sempra,Utilities,Multi-Utilities,Aktuell,
NOW,ServiceNow,Information Technology,Systems Software,Aktuell,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,Aktuell,
SPG,Simon Property Group,Real Estate,Retail REITs,Aktuell,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,Aktuell,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,Aktuell,
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,Aktuell,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
SOLV,Solventum,Health Care,Health Care Technology,Aktuell,
SO,Southern Company,Utilities,Electric Utilities,Aktuell,
LUV,Southwest Airlines,Industrials,Passenger Airlines,Aktuell,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
SBUX,Starbucks,Consumer Discretionary,Restaurants,Aktuell,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,Aktuell,
STLD,Steel Dynamics,Materials,Steel,Aktuell,
STE,Steris,Health Care,Health Care Equipment,Aktuell,
SYK,Stryker Corporation,Health Care,Health Care Equipment,Aktuell,
"SMCI,Supermicro,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
SYF,Synchrony Financial,Financials,Consumer Finance,Aktuell,
SNPS,Synopsys,Information Technology,Application Software,Aktuell,
SYY,Sysco,Consumer Staples,Food Distributors,Aktuell,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,Aktuell,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,Aktuell,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,Aktuell,
"TPR,""Tapestry, Inc."",Consumer Discretionary,""Apparel, Accessories & Luxury Goods"",Aktuell,"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,Aktuell,
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,Aktuell,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,Aktuell,
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,Aktuell,
TFX,Teleflex,Health Care,Health Care Equipment,Aktuell,
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,Aktuell,
"TSLA,""Tesla, Inc."",Consumer Discretionary,Automobile Manufacturers,Aktuell,"
TXN,Texas Instruments,Information Technology,Semiconductors,Aktuell,
TXT,Textron,Industrials,Aerospace & Defense,Aktuell,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,Aktuell,
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,Aktuell,
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,Aktuell,
TT,Trane Technologies,Industrials,Building Products,Aktuell,
TDG,TransDigm Group,Industrials,Aerospace & Defense,Aktuell,
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,Aktuell,
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,Aktuell,
TFC,Truist Financial,Financials,Diversified Banks,Aktuell,
TYL,Tyler Technologies,Information Technology,Application Software,Aktuell,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,Aktuell,
USB,U.S. Bancorp,Financials,Diversified Banks,Aktuell,
UBER,Uber,Industrials,Passenger Ground Transportation,Aktuell,
"UDR,""UDR, Inc."",Real Estate,Multi-Family Residential REITs,Aktuell,"
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,Aktuell,
UNP,Union Pacific Corporation,Industrials,Rail Transportation,Aktuell,
UAL,United Airlines Holdings,Industrials,Passenger Airlines,Aktuell,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,Aktuell,
URI,United Rentals,Industrials,Trading Companies & Distributors,Aktuell,
UNH,UnitedHealth Group,Health Care,Managed Health Care,Aktuell,
UHS,Universal Health Services,Health Care,Health Care Facilities,Aktuell,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,Aktuell,
VTR,Ventas,Real Estate,Health Care REITs,Aktuell,
VLTO,Veralto,Industrials,Environmental & Facilities Services,Aktuell,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,Aktuell,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,Aktuell,
VZ,Verizon,Communication Services,Integrated Telecommunication Services,Aktuell,
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,Aktuell,
VTRS,Viatris,Health Care,Pharmaceuticals,Aktuell,
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,Aktuell,
V,Visa Inc.,Financials,Transaction & Payment Processing Services,Aktuell,
VST,Vistra Corp.,Utilities,Electric Utilities,Aktuell,
VMC,Vulcan Materials Company,Materials,Construction Materials,Aktuell,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,Aktuell,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,Aktuell,
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,Aktuell,
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,Aktuell,
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,Aktuell,
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,Aktuell,
WM,Waste Management,Industrials,Environmental & Facilities Services,Aktuell,
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,Aktuell,
WEC,WEC Energy Group,Utilities,Electric Utilities,Aktuell,
WFC,Wells Fargo,Financials,Diversified Banks,Aktuell,
WELL,Welltower,Real Estate,Health Care REITs,Aktuell,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,Aktuell,
"WDC,Western Digital,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
WY,Weyerhaeuser,Real Estate,Timber REITs,Aktuell,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,Aktuell,
WTW,Willis Towers Watson,Financials,Insurance Brokers,Aktuell,
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,Aktuell,
XEL,Xcel Energy,Utilities,Multi-Utilities,Aktuell,
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
YUM,Yum! Brands,Consumer Discretionary,Restaurants,Aktuell,
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Aktuell,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,Aktuell,
ZTS,Zoetis,Health Care,Pharmaceuticals,Aktuell,
