Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Aktuell,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Aktuell,
CBRE,CBRE Group,Real Estate,Real Estate Services,Aktuell,
CDW,CDW,Information Technology,Technology Distributors,Aktuell,
CE,Celanese,Materials,Specialty Chemicals,Aktuell,
COR,Cencora,Health Care,Health Care Distributors,Aktuell,
CNC,Centene Corporation,Health Care,Managed Health Care,Aktuell,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Aktuell,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Aktuell,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Aktuell,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,Aktuell,
CHTR,Charter Communications,Communication Services,Cable & Satellite,Aktuell,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,Aktuell,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Aktuell,
CB,Chubb Limited,Financials,Property & Casualty Insurance,Aktuell,
CHD,Church & Dwight,Consumer Staples,Household Products,Aktuell,
CI,Cigna,Health Care,Health Care Services,Aktuell,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Aktuell,
CTAS,Cintas,Industrials,Diversified Support Services,Aktuell,
CSCO,Cisco,Information Technology,Communications Equipment,Aktuell,
C,Citigroup,Financials,Diversified Banks,Aktuell,
CFG,Citizens Financial Group,Financials,Regional Banks,Aktuell,
CLX,Clorox,Consumer Staples,Household Products,Aktuell,
CME,CME Group,Financials,Financial Exchanges & Data,Aktuell,
CMS,CMS Energy,Utilities,Multi-Utilities,Aktuell,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Aktuell,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,Aktuell,
CL,Colgate-Palmolive,Consumer Staples,Household Products,Aktuell,
CMCSA,Comcast,Communication Services,Cable & Satellite,Aktuell,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,Aktuell,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Aktuell,
ED,Consolidated Edison,Utilities,Multi-Utilities,Aktuell,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Aktuell,
CEG,Constellation Energy,Utilities,Electric Utilities,Aktuell,
COO,Cooper Companies (The),Health Care,Health Care Supplies,Aktuell,
CPRT,Copart,Industrials,Diversified Support Services,Aktuell,
GLW,Corning Inc.,Information Technology,Electronic Components,Aktuell,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,Aktuell,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,Aktuell,
CSGP,CoStar Group,Real Estate,Real Estate Services,Aktuell,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,Aktuell,
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,Aktuell,
CRWD,CrowdStrike,Information Technology,Systems Software,Aktuell,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,Aktuell,
CSX,CSX Corporation,Industrials,Rail Transportation,Aktuell,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,Aktuell,
CVS,CVS Health,Health Care,Health Care Services,Aktuell,
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,Aktuell,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,Aktuell,
DVA,DaVita,Health Care,Health Care Services,Aktuell,
DAY,Dayforce,Industrials,Human Resource & Employment Services,Aktuell,
DECK,Deckers Brands,Consumer Discretionary,Footwear,Aktuell,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,Aktuell,
"DELL,Dell Technologies,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
DAL,Delta Air Lines,Industrials,Passenger Airlines,Aktuell,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,Aktuell,
DXCM,Dexcom,Health Care,Health Care Equipment,Aktuell,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,Aktuell,
DLR,Digital Realty,Real Estate,Data Center REITs,Aktuell,
DFS,Discover Financial,Financials,Consumer Finance,Aktuell,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,Aktuell,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,Aktuell,
D,Dominion Energy,Utilities,Multi-Utilities,Aktuell,
DPZ,Domino's,Consumer Discretionary,Restaurants,Aktuell,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
DOW,Dow Inc.,Materials,Commodity Chemicals,Aktuell,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,Aktuell,
DTE,DTE Energy,Utilities,Multi-Utilities,Aktuell,
DUK,Duke Energy,Utilities,Electric Utilities,Aktuell,
DD,DuPont,Materials,Specialty Chemicals,Aktuell,
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,Aktuell,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,Aktuell,
EBAY,eBay,Consumer Discretionary,Broadline Retail,Aktuell,
ECL,Ecolab,Materials,Specialty Chemicals,Aktuell,
EIX,Edison International,Utilities,Electric Utilities,Aktuell,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,Aktuell,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,Aktuell,
ELV,Elevance Health,Health Care,Managed Health Care,Aktuell,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,Aktuell,
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,Aktuell,
ETR,Entergy,Utilities,Electric Utilities,Aktuell,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,Aktuell,
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,Aktuell,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,Aktuell,
EFX,Equifax,Industrials,Research & Consulting Services,Aktuell,
EQIX,Equinix,Real Estate,Data Center REITs,Aktuell,
