Date,Actual_Close,Predicted_Close,Percentage_Deviation
1980-01-30,115.19999661290277,110.26670057046238,
1980-01-31,114.1600034156343,111.34438597372613,
1980-02-01,115.1200030771494,110.42834262357152,
1980-02-04,114.37000265201507,111.34809313251557,
1980-02-05,114.6600036990572,110.69304589766921,
1980-02-06,115.72000148644501,110.98388684787457,
1980-02-07,116.27999899040992,111.98623197199046,
1980-02-08,117.94999679257734,112.52653933234049,
1980-02-11,117.12000283168965,114.09247189134723,
1980-02-12,117.90000117751933,113.35604921110948,
1980-02-13,118.4400023662729,114.09917456683706,
1980-02-14,116.72000067413946,114.62440504478897,
1980-02-15,115.41000412419154,113.06925744922472,
1980-02-19,114.59999820360717,111.88532774369042,
1980-02-20,116.47000053242802,111.15271152113826,
1980-02-21,115.27999842356414,112.8958870931597,
1980-02-22,115.04000126648803,111.81016951251883,
1980-02-25,113.3300011798386,111.59588249463644,
1980-02-26,113.98000347910023,110.02193982467395,
1980-02-27,112.37999760720217,110.61552655941148,
1980-02-28,112.34999830735549,109.13525584814641,
1980-02-29,113.66000313221141,109.09377097597888,
1980-03-03,112.50000032319423,110.29597719500933,
1980-03-04,112.77999838560102,109.21697883967431,
1980-03-05,111.12999689864493,109.46688106164095,
1980-03-06,108.65000145080116,107.93235453684295,
1980-03-07,106.90000183797237,105.61698010899269,
1980-03-10,106.51000197548187,103.9623791523332,
1980-03-11,107.77999899925044,103.55292567068182,
1980-03-12,106.87000253812569,104.68095561429143,
1980-03-13,105.62000251914414,103.79897730212014,
1980-03-14,105.43000028755037,102.59791853700071,
1980-03-17,102.26000197990211,102.37656474767596,
1980-03-18,104.09999845790745,99.40342891515135,
1980-03-19,104.3099976942882,101.05026800809546,
1980-03-20,103.12000282596884,101.19596707176788,
1980-03-21,102.30999759496014,100.05326295795007,
1980-03-24,99.27999874950007,99.25785673340178,
1980-03-25,99.19000240150528,96.41181245473297,
1980-03-26,98.68000029710598,96.26787318816446,
1980-03-27,98.22000122070312,95.74157800538165,
1980-03-28,100.68000035333557,95.26072861740153,
1980-03-31,102.08999640830753,97.47454785752146,
1980-04-01,102.18000016924074,98.73461774997813,
1980-04-02,102.68000045266363,98.78320249322007,
1980-04-03,102.15000155896973,99.21627807894345,
1980-04-07,100.19000236497236,98.7072222878526,
