Date,Upper_Distance,Middle_Distance,Lower_Distance
1980-01-02,,,
1980-01-03,,,
1980-01-04,,,
1980-01-07,,,
1980-01-08,,,
1980-01-09,,,
1980-01-10,,,
1980-01-11,,,
1980-01-14,,,
1980-01-15,,,
1980-01-16,,,
1980-01-17,,,
1980-01-18,,,
1980-01-21,,,
1980-01-22,,,
1980-01-23,,,
1980-01-24,,,
1980-01-25,,,
1980-01-28,,,
1980-01-29,-1.632019563145064,3.242915636174394,8.626230750538573
1980-01-30,-0.9884776682543516,3.8221304486343755,9.124070324819861
1980-01-31,-1.8206544203461912,2.472043070557327,7.157283103420356
1980-02-01,-1.1127702215038104,2.936445399000308,7.331432644667771
1980-02-04,-1.6529141484632026,1.921331392508855,5.7651738168347295
1980-02-05,-1.5119056251582186,1.920455986183478,5.600695466402873
1980-02-06,-0.8030172329696569,2.5586495377350724,6.156154284446344
1980-02-07,-0.6213175902472485,2.7639677625253696,6.388022807194462
1980-02-08,0.26036286582421764,3.871283136785317,7.752018625572206
1980-02-11,-0.7371387111398958,2.8351690388076576,6.6741986790229815
1980-02-12,-0.4868248548510243,3.2137207168536923,7.2001166527375275
1980-02-13,-0.43712921869261867,3.3521398483121225,7.4412527095388095
1980-02-14,-1.8863554968855545,1.58442861298728,5.309776929548158
1980-02-15,-2.8405651705454686,0.25496154368708807,3.554228158387973
1980-02-19,-3.4139683180211384,-0.5566591684545054,2.474859451925614
1980-02-20,-1.6896157046276523,0.8489952810613506,3.522187584688812
1980-02-21,-2.647431111827444,-0.260856490598876,2.245671351077911
1980-02-22,-2.806348502340668,-0.5261632482149096,1.8635795850175416
1980-02-25,-4.2757036844805,-1.9929165052969298,0.4014081983468157
1980-02-26,-3.7519361417832964,-1.3937051816142811,1.0829891539776701
1980-02-27,-5.247396340983623,-2.706777303790441,-0.026160301720571853
1980-02-28,-5.391792742667022,-2.6126023551096287,0.33481153028276456
1980-02-29,-4.302576286363004,-1.4557065740936899,1.5657375873171846
1980-03-03,-5.347522041334948,-2.3505320149710354,0.8424517139141935
1980-03-04,-5.157302598480883,-2.0398962490885197,1.2894085251713852
1980-03-05,-6.705356355596753,-3.3248687796843472,0.3098100548813039
1980-03-06,-9.129556474728606,-5.190730152363901,-0.8949714894552494
1980-03-07,-10.955653835838888,-6.334470068847829,-1.207374445396439
1980-03-10,-11.296424541485242,-6.206105850268985,-0.4959968200576056
1980-03-11,-10.073155756272637,-4.695798348648507,1.3655601989324457
1980-03-12,-10.524290852075461,-5.037362976359117,1.1664791599830142
1980-03-13,-11.145822348176958,-5.610464825416771,0.660385179289642
1980-03-14,-11.012588705025145,-5.302537269205049,1.190552616797792
1980-03-17,-13.761728347595218,-7.604176527531147,-0.4996940480985121
1980-03-18,-12.026570010800993,-5.493370090404093,2.0880268000606432
1980-03-19,-11.270932782320275,-4.777122074173996,2.7422725332174376
1980-03-20,-11.83607422664981,-5.338043632614575,2.1940637081043493
1980-03-21,-12.036005757641103,-5.529626781019351,2.0161385623484076
1980-03-24,-14.534028586184824,-7.728913238608026,0.25365166163651154
1980-03-25,-14.226888927017306,-7.174573175444017,1.1413262901104344
1980-03-26,-14.384127465807936,-7.056036755211546,1.6439388705490432
1980-03-27,-14.38048914525887,-6.869576899129568,2.085831952341088
1980-03-28,-11.279274648750734,-3.9459624929253314,4.70886769777479
1980-03-31,-9.070504839623265,-2.114668265977704,5.9935216349745
1980-04-01,-7.7526855662186325,-1.5279644489354407,5.597616581868184
1980-04-02,-6.213904397582522,-0.6415529877866973,5.634795299558072
1980-04-03,-5.998743795969533,-0.8425701165205243,4.912086365964587
1980-04-07,-7.37366383939089,-2.427383444351048,3.076964336315712
1980-04-08,-5.984105707959351,-1.1882824606900555,4.123118063075851
1980-04-09,-3.4655744786177225,0.9067024693868105,5.693830980771136
1980-04-10,-2.039945924183983,1.9952192995599087,6.377098979544606
1980-04-11,-2.00466045538761,1.8023106448486919,5.917027365853289
1980-04-14,-2.5009955105613524,0.9987884703104278,4.759180738070116
1980-04-15,-2.728569876170959,0.7742399174988668,4.538750830528801
1980-04-16,-3.5087401316554225,-0.1705760955156199,3.4068357945494987
1980-04-17,-3.6421171501753133,-0.4928553325954098,2.8692161990609413
1980-04-18,-3.9513321378679946,-0.8597711238813982,2.4374277337789554
1980-04-21,-4.59572101542709,-1.4773435796001608,1.8517762918335356
1980-04-22,-1.310648826351511,1.897461994776464,5.321153908119832
1980-04-23,-1.1972674605926386,1.9649888705905105,5.336358863699321
1980-04-24,-0.7165055082092742,2.335886109668624,5.581917711099474
1980-04-25,-0.1049769708959485,2.731431891126797,5.73362130342016
1980-04-28,-0.09407110950948036,2.95092066635355,6.187361651593924
1980-04-29,-0.33910548787497613,2.976152562210758,6.5195669947183985
1980-04-30,-0.4142036054125857,3.1881637832327705,7.0609330722305605
1980-05-01,-1.4545814208540626,2.2444114851940484,6.231924457694705
1980-05-02,-1.6020069131026156,2.190841693090549,6.2878111930991025
1980-05-05,-1.0879717164196208,2.65763094446356,6.698075808390859
1980-05-06,-1.43381713726686,2.282954832087609,6.29101788574218
1980-05-07,-0.9738945687535485,2.9764988671944983,7.2551697984412895
1980-05-08,-2.1225026036141137,1.8673571793069288,6.196324037280992
1980-05-09,-3.4660993021091056,0.4691509238809501,4.738881064259264
1980-05-12,-3.4587677543841915,0.43324719696649683,4.652254233602138
1980-05-13,-2.2306873760422166,1.7112969434398808,5.984511846928708
1980-05-14,-1.8608681208116509,1.9784854017627234,6.130472436911467
