Date,Actual_Close,Predicted_Close,Percentage_Deviation
1980-01-03,105.22,109.08672,
1980-01-04,106.52,108.56548,
1980-01-07,106.81,109.83519,
1980-01-08,108.95,110.09069,
1980-01-09,109.05,112.13014,
1980-01-10,109.88999,112.14814,
1980-01-11,109.91999,112.89758,
1980-01-14,110.380005,112.85861,
1980-01-15,111.14,113.25326,
1980-01-16,111.05,113.9409,
1980-01-17,110.7,113.80258,
1980-01-18,111.07,113.43331,
1980-01-21,112.100006,113.78279,
1980-01-22,111.51,114.76845,
1980-01-23,113.439995,114.17013,
1980-01-24,113.7,116.03643,
1980-01-25,113.60999,116.243996,
1980-01-28,114.85,116.12469,
1980-01-29,114.07001,117.309265,
1980-01-30,115.19999,116.52064,
1980-01-31,114.16,117.616875,
1980-02-01,115.12,116.59444,
1980-02-04,114.369995,117.54746,
1980-02-05,114.66,116.82642,
1980-02-06,115.72,117.14025,
1980-02-07,116.28,118.1926,
1980-02-08,117.95,118.73622,
1980-02-11,117.12,120.346634,
1980-02-12,117.899994,119.50638,
1980-02-13,118.44,120.26411,
1980-02-14,116.72,120.77862,
1980-02-15,115.409996,119.10706,
1980-02-19,114.6,117.892204,
1980-02-20,116.47,117.195595,
1980-02-21,115.27999,119.10054,
1980-02-22,115.04,117.98407,
1980-02-25,113.329994,117.81834,
1980-02-26,113.98,116.23138,
1980-02-27,112.37999,116.96225,
1980-02-28,112.34999,115.48376,
1980-02-29,113.659996,115.55405,
1980-03-03,112.5,116.89901,
1980-03-04,112.78,115.806435,
1980-03-05,111.13,116.13068,
1980-03-06,108.65001,114.57197,
1980-03-07,106.90001,112.249435,
1980-03-10,106.51,110.68226,
1980-03-11,107.78001,110.444824,
1980-03-12,106.87001,111.78278,
1980-03-13,105.62,110.950134,
1980-03-14,105.42999,109.79643,
1980-03-17,102.26,109.67914,
1980-03-18,104.1,106.668274,
1980-03-19,104.30999,108.55496,
1980-03-20,103.12,108.78138,
1980-03-21,102.310005,107.63369,
1980-03-24,99.28,106.87204,
1980-03-25,99.189995,103.97442,
1980-03-26,98.68,103.97512,
1980-03-27,98.22,103.53794,
1980-03-28,100.68,103.13392,
1980-03-31,102.090004,105.53064,
1980-04-01,102.18,106.824066,
1980-04-02,102.68,106.804016,
1980-04-03,102.15,107.18513,
1980-04-07,100.19,106.5675,
1980-04-08,101.2,104.59621,
1980-04-09,103.11,105.54879,
1980-04-10,104.08,107.334404,
1980-04-11,103.79,108.162445,
1980-04-14,102.84,107.76272,
1980-04-15,102.63,106.75283,
1980-04-16,101.54001,106.49683,
1980-04-17,101.049995,105.40303,
1980-04-18,100.55001,104.92146,
1980-04-21,99.8,104.43965,
1980-04-22,103.42999,103.724045,
1980-04-23,103.729996,107.24631,
1980-04-24,104.4,107.44498,
1980-04-25,105.16,108.007545,
1980-04-28,105.64,108.653435,
1980-04-29,105.86001,109.025,
1980-04-30,106.29,109.15153,
1980-05-01,105.46,109.49363,
1980-05-02,105.58,108.624565,
1980-05-05,106.38,108.71229,
1980-05-06,106.24999,109.46149,
1980-05-07,107.17999,109.29835,
1980-05-08,106.13,110.17366,
1980-05-09,104.72,109.119995,
1980-05-12,104.78,107.76041,
1980-05-13,106.299995,107.862335,
1980-05-14,106.850006,109.36546,
1980-05-15,106.98999,109.88504,
1980-05-16,107.35,109.9993,
1980-05-19,107.670006,110.33018,
1980-05-20,107.62,110.62009,
1980-05-21,107.72001,110.552216,
1980-05-22,109.009995,110.63938,
1980-05-23,110.62001,111.87967,
1980-05-27,111.4,113.399796,
1980-05-28,112.06,114.0875,
1980-05-29,110.270004,114.65936,
1980-05-30,111.24,112.86865,
1980-06-02,110.759995,113.81557,
1980-06-03,110.51001,113.34126,
1980-06-04,112.61,113.11329,
1980-06-05,112.78,115.168,
1980-06-06,113.19999,115.303,
1980-06-09,113.71,115.69056,
1980-06-10,114.66,116.167,
1980-06-11,116.01999,117.06802,
1980-06-12,115.52,118.35331,
1980-06-13,115.81,117.82118,
1980-06-16,116.09,118.08878,
1980-06-17,116.03,118.35351,
1980-06-18,116.259995,118.29542,
1980-06-19,114.66,118.53144,
1980-06-20,114.06,117.00175,
1980-06-23,114.509995,116.49059,
1980-06-24,115.13999,117.00605,
1980-06-25,116.72,117.67509,
1980-06-26,116.19,119.240685,
1980-06-27,116.0,118.72467,
1980-06-30,114.23999,118.561775,
1980-07-01,114.93,116.8916,
1980-07-02,115.68,117.63847,
1980-07-03,117.46,118.41393,
1980-07-07,118.29,120.15966,
1980-07-08,117.84,120.94011,
1980-07-09,117.979996,120.47335,
1980-07-10,116.94999,120.604126,
1980-07-11,117.84,119.609535,
1980-07-14,120.009995,120.506165,
1980-07-15,119.3,122.61488,
1980-07-16,119.62999,121.88658,
1980-07-17,121.44,122.20063,
1980-07-18,122.04,123.94569,
1980-07-21,122.51,124.482056,
1980-07-22,122.19,124.896065,
1980-07-23,121.93,124.55308,
1980-07-24,121.78999,124.29534,
1980-07-25,120.77999,124.1733,
1980-07-28,121.43001,123.22222,
1980-07-29,122.4,123.90822,
1980-07-30,122.23,124.88295,
1980-07-31,121.67,124.73088,
1980-08-01,121.21001,124.21349,
1980-08-04,120.98,123.81209,
1980-08-05,120.74,123.644745,
1980-08-06,121.55,123.46991,
1980-08-07,123.3,124.31082,
1980-08-08,123.61,126.031815,
1980-08-11,124.78,126.31371,
1980-08-12,123.79,127.42941,
1980-08-13,123.28,126.436646,
1980-08-14,125.25,125.9507,
1980-08-15,125.72,127.8817,
1980-08-18,123.39,128.31128,
1980-08-19,122.6,126.03562,
1980-08-20,123.77,125.32552,
1980-08-21,125.46,126.52671,
1980-08-22,126.02,128.18968,
1980-08-25,125.16,128.7149,
1980-08-26,124.84,127.86326,
1980-08-27,123.52,127.56885,
1980-08-28,122.08,126.32061,
1980-08-29,122.38,124.9931,
1980-09-02,123.74,125.37748,
1980-09-03,126.12,126.76112,
1980-09-04,125.42,129.08165,
1980-09-05,124.880005,128.36081,
1980-09-08,123.31,127.82791,
1980-09-09,124.07,126.321686,
1980-09-10,124.81,127.111084,
1980-09-11,125.66,127.85182,
1980-09-12,125.54,128.67647,
1980-09-15,125.67,128.54362,
1980-09-16,126.740005,128.66312,
1980-09-17,128.87,129.69275,
1980-09-18,128.4,131.72299,
1980-09-19,129.25,131.1942,
1980-09-22,130.4,131.97641,
1980-09-23,129.43,133.04112,
1980-09-24,130.37,132.04337,
1980-09-25,128.72,132.93983,
1980-09-26,126.35,131.31839,
1980-09-29,123.53999,129.06058,
1980-09-30,125.46,126.443146,
1980-10-01,127.13,128.4572,
1980-10-02,128.09,130.14658,
1980-10-03,129.33,131.09155,
1980-10-06,131.73,132.28114,
1980-10-07,131.0,134.5646,
1980-10-08,131.65,133.77116,
1980-10-09,131.04,134.35712,
1980-10-10,130.29,133.72385,
1980-10-13,132.03,132.9889,
1980-10-14,132.02,134.69106,
1980-10-15,133.7,134.65752,
1980-10-16,132.22,136.2715,
1980-10-17,131.52,134.79567,
1980-10-20,132.61,134.13284,
1980-10-21,131.84,135.22504,
1980-10-22,131.92,134.48941,
1980-10-23,129.53,134.60266,
1980-10-24,129.85,132.32593,
1980-10-27,127.88,132.73305,
1980-10-28,128.05,130.90242,
1980-10-29,127.91001,131.18158,
1980-10-30,126.29,131.13417,
1980-10-31,127.47,129.64313,
1980-11-03,129.04,130.88515,
1980-11-05,131.33,132.44875,
1980-11-06,128.91,134.65445,
1980-11-07,129.18,132.24895,
1980-11-10,129.48,132.52303,
1980-11-11,131.26,132.81592,
1980-11-12,134.59,134.53006,
1980-11-13,136.49,137.69609,
1980-11-14,137.15,139.4044,
1980-11-17,137.75,139.89561,
1980-11-18,139.7,140.34975,
1980-11-19,139.06,142.12923,
1980-11-20,140.4,141.38463,
1980-11-21,139.11,142.6116,
1980-11-24,138.31,141.28618,
1980-11-25,139.33,140.50003,
1980-11-26,140.17,141.51207,
1980-11-28,140.52,142.3303,
1980-12-01,137.21,142.66417,
1980-12-02,136.97,139.46294,
1980-12-03,136.71,139.33386,
1980-12-04,136.48,139.18092,
1980-12-05,134.03,139.05284,
1980-12-08,130.61,136.77315,
1980-12-09,130.48,133.61107,
1980-12-10,128.26,133.69519,
1980-12-11,127.36,131.71991,
1980-12-12,129.23,131.04279,
1980-12-15,129.45,133.0199,
1980-12-16,130.6,133.31032,
1980-12-17,132.89,134.47017,
1980-12-18,133.0,136.68315,
1980-12-19,133.7,136.7232,
1980-12-22,135.78,137.34032,
1980-12-23,135.3,139.28133,
1980-12-24,135.88,138.70581,
1980-12-26,136.57,139.19112,
1980-12-29,135.03,139.78384,
1980-12-30,135.33,138.2203,
1980-12-31,135.76,138.49493,
1981-01-02,136.34,138.8925,
1981-01-05,137.97,139.42986,
1981-01-06,138.12,140.97453,
1981-01-07,135.08,141.05519,
1981-01-08,133.06,138.06677,
1981-01-09,133.48,136.16214,
1981-01-12,133.52,136.66318,
1981-01-13,133.29,136.76688,
1981-01-14,133.47,136.59566,
1981-01-15,134.22,136.81633,
1981-01-16,134.77,137.5728,
1981-01-19,134.37,138.10875,
1981-01-20,131.65,137.71097,
1981-01-21,131.36,135.0851,
1981-01-22,130.26,134.87965,
1981-01-23,130.23,133.88162,
1981-01-26,129.84,133.93,
1981-01-27,131.12,133.61072,
1981-01-28,130.34,134.89778,
1981-01-29,130.24,134.14455,
1981-01-30,129.55,134.064,
1981-02-02,126.91,133.4075,
1981-02-03,128.46,130.87903,
1981-02-04,128.59,132.45682,
1981-02-05,129.63,132.59618,
1981-02-06,130.6,133.60025,
1981-02-09,129.27,134.5014,
1981-02-10,129.24,133.15652,
1981-02-11,128.24,133.11015,
1981-02-12,127.48,132.12572,
1981-02-13,126.98001,131.39825,
1981-02-17,127.80999,130.93471,
1981-02-18,128.48,131.75786,
1981-02-19,126.61,132.39236,
1981-02-20,126.58,130.55225,
1981-02-23,127.35,130.54053,
1981-02-24,127.39,131.29124,
1981-02-25,128.52,131.30775,
1981-02-26,130.1,132.37408,
1981-02-27,131.27,133.84387,
1981-03-02,132.01,134.88263,
1981-03-03,130.56,135.49112,
1981-03-04,130.86,133.98529,
1981-03-05,129.93,134.2314,
1981-03-06,129.85,133.2902,
1981-03-09,131.12,133.20467,
1981-03-10,130.46,134.42728,
1981-03-11,129.95,133.75208,
1981-03-12,133.19,133.24846,
1981-03-13,133.11,136.38516,
1981-03-16,134.68,136.22621,
1981-03-17,133.92,137.68454,
1981-03-18,134.22,136.86496,
1981-03-19,133.46,137.1136,
1981-03-20,134.08,136.3437,
1981-03-23,135.69,136.94136,
1981-03-24,134.67,138.48514,
1981-03-25,137.11,137.45187,
1981-03-26,136.27,139.80812,
1981-03-27,134.65,138.93503,
1981-03-30,134.28,137.35161,
1981-03-31,136.0,137.03197,
1981-04-01,136.57,138.74155,
1981-04-02,136.32,139.2895,
1981-04-03,135.49,139.03708,
1981-04-06,133.93,138.24025,
1981-04-07,133.91,136.76602,
1981-04-08,134.31,136.82152,
1981-04-09,134.67,137.27232,
1981-04-10,134.51,137.66415,
1981-04-13,133.15,137.53813,
1981-04-14,132.68,136.2542,
1981-04-15,134.17,135.86366,
1981-04-16,134.7,137.3681,
1981-04-20,135.45,137.89215,
1981-04-21,134.23,138.61368,
1981-04-22,134.14,137.4138,
1981-04-23,133.94,137.34558,
1981-04-24,135.14,137.17113,
1981-04-27,135.48,138.35234,
1981-04-28,134.33,138.66678,
1981-04-29,133.05,137.53699,
1981-04-30,132.81,136.31859,
1981-05-01,132.72,136.13684,
1981-05-04,130.67,136.09601,
1981-05-05,130.32,134.15382,
1981-05-06,130.78,133.90001,
1981-05-07,131.67,134.41728,
1981-05-08,131.66,135.31825,
1981-05-11,129.71,135.31339,
1981-05-12,130.72,133.4304,
1981-05-13,130.55,134.4551,
1981-05-14,131.28,134.2976,
1981-05-15,132.17,135.008,
1981-05-18,132.54,135.84766,
1981-05-19,132.09,136.1615,
1981-05-20,132.0,135.67947,
1981-05-21,131.75,135.56499,
1981-05-22,131.33,135.30185,
1981-05-26,132.77,134.88367,
1981-05-27,133.77,136.27414,
1981-05-28,133.45,137.19896,
1981-05-29,132.59,136.82928,
1981-06-01,132.41,135.95934,
1981-06-02,130.62,135.77802,
1981-06-03,130.71,134.04747,
1981-06-04,130.96,134.18135,
1981-06-05,132.22,134.4558,
1981-06-08,132.24,135.69035,
1981-06-09,131.97,135.68765,
1981-06-10,132.32,135.40778,
1981-06-11,133.75,135.7374,
1981-06-12,133.49,137.10216,
1981-06-15,133.61,136.7988,
1981-06-16,132.15,136.88144,
1981-06-17,133.32,135.4422,
1981-06-18,131.64,136.59082,
1981-06-19,132.27,134.95071,
1981-06-22,131.95,135.59248,
1981-06-23,133.35,135.29231,
1981-06-24,132.66,136.6609,
1981-06-25,132.81,135.969,
1981-06-26,132.56,136.11342,
1981-06-29,131.89,135.86794,
1981-06-30,131.21,135.22476,
1981-07-01,129.77,134.5895,
1981-07-02,128.64,133.23346,
1981-07-06,127.37,132.20743,
1981-07-07,128.24,131.06047,
1981-07-08,128.32,131.9938,
1981-07-09,129.3,132.11562,
1981-07-10,129.37,133.08966,
1981-07-13,129.64,133.14714,
1981-07-14,129.65,133.39316,
1981-07-15,130.23,133.37935,
1981-07-16,130.34,133.9165,
1981-07-17,130.76,133.98508,
1981-07-20,128.72,134.35484,
1981-07-21,128.34,132.342,
1981-07-22,127.13,131.9942,
1981-07-23,127.4,130.84752,
1981-07-24,128.46,131.15422,
1981-07-27,129.9,132.20189,
1981-07-28,129.14,133.5781,
1981-07-29,129.16,132.78961,
1981-07-30,130.01,132.78351,
1981-07-31,130.92,133.58096,
1981-08-03,130.48,134.41582,
1981-08-04,131.18,133.9297,
