Date,Actual,Predicted,Percentage_Error
1980-01-03,105.22000122070312,92.09180685668552,12.476900030138466
1980-01-04,106.5199966430664,90.68667463829539,14.86417809214383
1980-01-07,106.80999755859376,91.64629444298555,14.1968949182774
1980-01-08,108.9499969482422,92.11959997558868,15.447817755010096
1980-01-09,109.0500030517578,93.20482926864963,14.530191049685397
1980-01-10,109.88999938964844,94.3345498894303,14.155473279294098
1980-01-11,109.91999816894533,94.39964469802062,14.119681340487436
1980-01-14,110.37999725341795,94.59939093970594,14.296617780739581
1980-01-15,111.13999938964844,94.87626488470355,14.633556410168286
1980-01-16,111.0500030517578,95.23241793470486,14.24366022725883
1980-01-17,110.6999969482422,95.78234763093711,13.475745012242268
1980-01-18,111.06999969482422,95.2494909587743,14.243728080956448
1980-01-21,112.0999984741211,95.21584655731225,15.061687909573566
1980-01-22,111.51000213623048,96.01220971028967,13.898118670114759
1980-01-23,113.44000244140624,96.03337730704591,15.344344816416196
1980-01-24,113.6999969482422,96.72302033529341,14.931378248564897
1980-01-25,113.61000061035156,97.67564926761541,14.025483018335883
1980-01-28,114.8499984741211,97.21580301000216,15.35411031641625
1980-01-29,114.06999969482422,98.03251882051175,14.059332793213065
1980-01-30,115.1999969482422,97.95797980335259,14.967029168096438
1980-01-31,114.16000366210938,98.25380558119987,13.933249448719929
1980-02-01,115.12000274658205,98.68054978366395,14.28027499192028
1980-02-04,114.37000274658205,98.06858059105427,14.253232284734683
1980-02-05,114.66000366210938,98.24465100259916,14.316546428765594
1980-02-06,115.72000122070312,97.6913678456574,15.579530923665667
1980-02-07,116.27999877929688,98.69041329313438,15.126922661521593
1980-02-08,117.9499969482422,99.6004032044283,15.557095564712823
1980-02-11,117.12000274658205,100.31320811159827,14.350063388701766
1980-02-12,117.9000015258789,100.42517848937804,14.82173266356164
1980-02-13,118.44000244140624,100.20269534869082,15.397928670034972
1980-02-14,116.72000122070312,101.36633201734158,13.1542743683918
1980-02-15,115.41000366210938,100.40164652771851,13.004381473144605
1980-02-19,114.5999984741211,98.76700148964328,13.815878878962826
1980-02-20,116.47000122070312,98.0617364266765,15.805155491622388
1980-02-21,115.27999877929688,99.14267427439258,13.998373244086467
