Date,Actual,Predicted,Percentage_Error
1980-01-03,105.22000122070312,118.79044155885043,12.897206026145893
1980-01-04,106.5199966430664,117.22296795730699,10.047851719433247
1980-01-07,106.80999755859376,118.643407971366,11.07893519638054
1980-01-08,108.9499969482422,119.21403579878523,9.420871168467372
1980-01-09,109.0500030517578,120.65707073637157,10.643803172664533
1980-01-10,109.88999938964844,121.95580937362331,10.979898126299801
1980-01-11,109.91999816894533,122.23360048018668,11.202331255787994
1980-01-14,110.37999725341795,122.47254331089317,10.955378110503412
1980-01-15,111.13999938964844,122.89023137108558,10.572460001769223
1980-01-16,111.0500030517578,123.36475505326058,11.089375653383067
1980-01-17,110.6999969482422,123.94414371396437,11.963999214845929
1980-01-18,111.06999969482422,123.34171716625258,11.048633749118677
1980-01-21,112.0999984741211,123.42888253561745,10.106051931937973
1980-01-22,111.51000213623048,124.43345934758395,11.589504944646155
1980-01-23,113.44000244140624,124.35029200758316,9.617673952195378
1980-01-24,113.6999969482422,125.34758831721336,10.244143959188765
1980-01-25,113.61000061035156,126.54223053650537,11.383003130602475
1980-01-28,114.8499984741211,126.05692050427518,9.7578773870679
1980-01-29,114.06999969482422,127.08877553742373,11.412970875277578
1980-01-30,115.1999969482422,126.85121838734909,10.113907767151789
1980-01-31,114.16000366210938,127.43419240203754,11.627705250620952
1980-02-01,115.12000274658205,127.55209640815146,10.799247189853393
1980-02-04,114.37000274658205,127.2265561099784,11.241193542579135
1980-02-05,114.66000366210938,127.30221957289622,11.02582897872748
1980-02-06,115.72000122070312,126.61432000347651,9.414378385630636
1980-02-07,116.27999877929688,127.93918591406306,10.026820826594342
1980-02-08,117.9499969482422,129.08015004592707,9.436331823364867
1980-02-11,117.12000274658205,130.13563358405784,11.113072517286666
1980-02-12,117.9000015258789,130.12410896153486,10.368199556785227
1980-02-13,118.44000244140624,130.04495858096143,9.798172830413709
1980-02-14,116.72000122070312,131.42151113631925,12.595536122225862
1980-02-15,115.41000366210938,129.9308405875029,12.58195690549216
1980-02-19,114.5999984741211,128.01136245932528,11.702761050413745
1980-02-20,116.47000122070312,127.12570051885167,9.148878841304969
