Date,Close,RSI,RSI_DwellTime_Over70,RSI_DwellTime_Under30,RSI_Slope_5,RSI_DistanceTo50,RSI_Divergence,RSI_OverboughtCount_14,RSI_OversoldCount_14,RSI_Close_Corr_14,RSI_Volatility_14,RSI_ExtremeCount_14
1980-01-02,105.76000213623048,,0,0,0.0,,0,,,,,
1980-01-03,105.22000122070312,,0,0,0.0,,0,,,,,
1980-01-04,106.5199966430664,,0,0,0.0,,0,,,,,
1980-01-07,106.80999755859376,,0,0,0.0,,0,,,,,
1980-01-08,108.9499969482422,,0,0,0.0,,0,,,,,
1980-01-09,109.0500030517578,,0,0,0.0,,0,,,,,
1980-01-10,109.88999938964844,,0,0,0.0,,0,,,,,
1980-01-11,109.91999816894533,,0,0,0.0,,0,,,,,
1980-01-14,110.37999725341795,,0,0,0.0,,0,,,,,
1980-01-15,111.13999938964844,,0,0,0.0,,0,,,,,
1980-01-16,111.0500030517578,,0,0,0.0,,0,,,,,
1980-01-17,110.6999969482422,,0,0,0.0,,0,,,,,
1980-01-18,111.06999969482422,,0,0,0.0,,0,,,,,
1980-01-21,112.0999984741211,,0,0,0.0,,0,0.0,0.0,,,0.0
1980-01-22,111.51000213623048,79.03999328234579,1,0,0.0,29.03999328234579,0,1.0,0.0,,,0.0
1980-01-23,113.44000244140624,84.82341936774152,2,0,0.0,34.82341936774152,0,2.0,0.0,,,1.0
1980-01-24,113.6999969482422,85.40755450348047,3,0,0.0,35.40755450348047,0,3.0,0.0,,,2.0
1980-01-25,113.61000061035156,84.19947880522207,4,0,0.0,34.19947880522207,0,4.0,0.0,,,3.0
1980-01-28,114.8499984741211,86.94046244161507,5,0,0.0,36.94046244161507,0,5.0,0.0,,,4.0
1980-01-29,114.06999969482422,77.79803867301662,6,0,-1.24195460932917,27.79803867301662,0,6.0,0.0,,,4.0
1980-01-30,115.1999969482422,80.92716317575798,7,0,-3.8962561919835395,30.927163175757983,0,7.0,0.0,,,5.0
1980-01-31,114.16000366210938,71.00796836643708,8,0,-14.399586137043386,21.007968366437083,0,8.0,0.0,,,5.0
1980-02-01,115.12000274658205,74.15682532386772,9,0,-10.04265348135435,24.15682532386772,0,9.0,0.0,,,5.0
1980-02-04,114.37000274658205,67.94778193334307,0,0,-18.992680508272002,17.947781933343066,0,9.0,0.0,,,5.0
1980-02-05,114.66000366210938,69.02764955362076,0,0,-8.770389119395858,19.027649553620762,0,9.0,0.0,,,5.0
1980-02-06,115.72000122070312,72.65419646005395,1,0,-8.27296671570403,22.654196460053953,0,10.0,0.0,,,5.0
1980-02-07,116.27999877929688,74.36211547457782,2,0,3.3541471081407366,24.36211547457782,0,11.0,0.0,,,5.0
1980-02-08,117.9499969482422,78.64544637887776,3,0,4.488621055010043,28.645446378877764,0,12.0,0.0,-0.21878221007918178,6.2946488414212585,5.0
1980-02-11,117.12000274658205,72.19008254521756,4,0,4.242300611874498,22.190082545217564,0,12.0,0.0,-0.29596428849487644,6.441825560636085,5.0
1980-02-12,117.9000015258789,74.32309488182315,5,0,5.2954453282023906,24.323094881823152,0,12.0,0.0,-0.22479308218408328,6.080734584746056,4.0
1980-02-13,118.44000244140624,75.71199425194602,6,0,3.057797791892071,25.711994251946024,0,12.0,0.0,-0.08884581652535929,5.500246592732167,3.0
1980-02-14,116.72000122070312,63.86265769042883,0,0,-10.499457784148987,13.862657690428833,0,11.0,0.0,-0.0043494052993782555,5.763900048128139,2.0
1980-02-15,115.41000366210938,56.59738188387915,0,0,-22.048064494998613,6.597381883879152,0,10.0,0.0,0.1860546453090355,6.305895712431269,1.0
1980-02-19,114.5999984741211,52.61181245802975,0,0,-19.57827008718781,2.6118124580297533,0,9.0,0.0,0.40661204116027716,7.933728134576379,1.0
1980-02-20,116.47000122070312,59.67232665722858,0,0,-14.650768224594572,9.67232665722858,0,8.0,0.0,0.4528749013200241,7.773161051750104,0.0
