Date,Actual_Close,Predicted_Close,Percentage_Deviation
1980-03-27,98.22,100.30364,2.121402
1980-03-28,100.68,99.640236,-1.0327418
1980-03-31,102.09,100.11328,-1.9362476
1980-04-01,102.18,101.083405,-1.0732
1980-04-02,102.68,101.8228,-0.83482724
1980-04-03,102.15,102.43452,0.27852702
1980-04-07,100.19,102.60794,2.4133527
1980-04-08,101.2,101.95587,0.7469117
1980-04-09,103.11,101.767784,-1.3017325
1980-04-10,104.08,102.38585,-1.627741
1980-04-11,103.79,103.26081,-0.5098661
1980-04-14,102.84,103.76829,0.9026559
1980-04-15,102.63,103.69976,1.0423495
1980-04-16,101.54,103.487335,1.9178001
1980-04-17,101.05,102.93767,1.8680502
1980-04-18,100.55,102.36563,1.8056966
1980-04-21,99.8,101.81822,2.0222635
1980-04-22,103.43,101.20971,-2.1466608
1980-04-23,103.73,102.09672,-1.5745547
1980-04-24,104.4,102.994415,-1.346347
1980-04-25,105.16,103.82866,-1.266018
1980-04-28,105.64,104.61197,-0.973145
1980-04-29,105.86,105.27104,-0.55635625
1980-04-30,106.29,105.7506,-0.5074778
1980-05-01,105.46,106.18287,0.6854446
1980-05-02,105.58,106.15719,0.54668176
1980-05-05,106.38,106.11867,-0.24565674
1980-05-06,106.25,106.374,0.11670639
1980-05-07,107.18,106.539986,-0.59714
1980-05-08,106.13,106.970894,0.792327
1980-05-09,104.72,106.91025,2.0915265
1980-05-12,104.78,106.30123,1.4518349
1980-05-13,106.3,105.84492,-0.4281145
1980-05-14,106.85,106.11257,-0.6901514
1980-05-15,106.99,106.59398,-0.3701458
1980-05-16,107.35,106.993774,-0.33183423
1980-05-19,107.67,107.36336,-0.2847967
1980-05-20,107.62,107.70438,0.078399435
1980-05-21,107.72,107.89889,0.16606611
1980-05-22,109.01,108.036896,-0.89267623
1980-05-23,110.62,108.57571,-1.848035
1980-05-27,111.4,109.55526,-1.6559621
1980-05-28,112.06,110.53193,-1.3636165
1980-05-29,110.27,111.39511,1.020327
1980-05-30,111.24,111.284966,0.040423997
1980-06-02,110.76,111.416916,0.59309655
1980-06-03,110.51,111.35432,0.76401645
1980-06-04,112.61,111.20863,-1.2444429
