Date,Actual_Close,Predicted_Close,Percentage_Deviation
1980-03-27,98.22,100.69518,2.5200381
1980-03-28,100.68,99.946,-0.72904366
1980-03-31,102.09,100.04642,-2.0017428
1980-04-01,102.18,100.71189,-1.4367872
1980-04-02,102.68,101.39009,-1.2562422
1980-04-03,102.15,102.015144,-0.13201877
1980-04-07,100.19,102.326584,2.1325295
1980-04-08,101.2,101.978775,0.7695435
1980-04-09,103.11,101.78325,-1.2867342
1980-04-10,104.08,102.16088,-1.84389
1980-04-11,103.79,102.856804,-0.89912033
1980-04-14,102.84,103.39618,0.54082346
1980-04-15,102.63,103.51186,0.8592677
1980-04-16,101.54,103.4209,1.852371
1980-04-17,101.05,103.02317,1.9526644
1980-04-18,100.55,102.52154,1.9607505
1980-04-21,99.8,101.99664,2.201042
1980-04-22,103.43,101.41526,-1.9479262
1980-04-23,103.73,101.87039,-1.7927421
1980-04-24,104.4,102.58205,-1.7413363
1980-04-25,105.16,103.354,-1.71739
1980-04-28,105.64,104.12732,-1.4319198
1980-04-29,105.86,104.82004,-0.98239446
1980-04-30,106.29,105.36744,-0.86796653
1980-05-01,105.46,105.84246,0.3626603
1980-05-02,105.58,105.97014,0.36951762
1980-05-05,106.38,105.99934,-0.3578314
1980-05-06,106.25,106.19633,-0.050515566
1980-05-07,107.18,106.363335,-0.76195717
1980-05-08,106.13,106.715065,0.55127466
1980-05-09,104.72,106.76615,1.953925
1980-05-12,104.78,106.365204,1.512889
1980-05-13,106.3,105.951706,-0.32765487
1980-05-14,106.85,106.02362,-0.77339995
1980-05-15,106.99,106.35832,-0.5904063
1980-05-16,107.35,106.71885,-0.58793604
1980-05-19,107.67,107.08067,-0.5473437
1980-05-20,107.62,107.427315,-0.17904477
1980-05-21,107.72,107.66761,-0.04863633
1980-05-22,109.01,107.84141,-1.0720066
1980-05-23,110.62,108.27683,-2.1182156
1980-05-27,111.4,109.08262,-2.0802357
1980-05-28,112.06,109.98652,-1.8503289
1980-05-29,110.27,110.85234,0.52810746
1980-05-30,111.24,111.03082,-0.18803948
1980-06-02,110.76,111.211815,0.4079205
1980-06-03,110.51,111.22809,0.64979297
1980-06-04,112.61,111.138016,-1.3071529
1980-06-05,112.78,111.573944,-1.0693871
1980-06-06,113.2,112.09386,-0.9771557
1980-06-09,113.71,112.61212,-0.96550655
1980-06-10,114.66,113.12175,-1.3415784
1980-06-11,116.02,113.73721,-1.9675777
1980-06-12,115.52,114.56955,-0.8227555
1980-06-13,115.81,115.12357,-0.5927159
1980-06-16,116.09,115.52918,-0.48308545
1980-06-17,116.03,115.85858,-0.14773527
1980-06-18,116.259995,116.06978,-0.16361265
1980-06-19,114.66,116.2548,1.3908906
1980-06-20,114.06,115.980705,1.6839451
1980-06-23,114.51,115.49746,0.8623328
1980-06-24,115.14,115.19591,0.04855672
1980-06-25,116.72,115.18831,-1.3122795
1980-06-26,116.19,115.669785,-0.44773036
1980-06-27,116.0,116.02994,0.025808401
1980-06-30,114.23999,116.21051,1.7248951
1980-07-01,114.93,115.84092,0.7925861
1980-07-02,115.68,115.5861,-0.08117443
1980-07-03,117.46,115.62235,-1.5644871
1980-07-07,118.29,116.18951,-1.7757158
1980-07-08,117.84,116.97249,-0.73617446
1980-07-09,117.98,117.49727,-0.4091665
1980-07-10,116.95,117.84296,0.7635397
1980-07-11,117.84,117.78356,-0.047890898
1980-07-14,120.01,117.85401,-1.7965091
1980-07-15,119.3,118.4995,-0.671003
1980-07-16,119.63,118.96544,-0.55551153
1980-07-17,121.44,119.34395,-1.7259996
1980-07-18,122.04,120.05748,-1.6244845
1980-07-21,122.51,120.8359,-1.366503
1980-07-22,122.19,121.55256,-0.52168226
1980-07-23,121.93,121.98174,0.04243628
1980-07-24,121.79,122.15144,0.29677522
1980-07-25,120.78,122.16988,1.1507576
1980-07-28,121.43,121.88675,0.37614176
1980-07-29,122.4,121.76326,-0.5202137
1980-07-30,122.23,121.96886,-0.21365176
1980-07-31,121.67,122.17413,0.4143463
1980-08-01,121.21,122.181496,0.8014987
1980-08-04,120.98,122.009926,0.8513163
1980-08-05,120.74,121.773,0.8555614
1980-08-06,121.55,121.51969,-0.024937544
1980-08-07,123.3,121.536995,-1.4298525
