Date,Actual_Close,Predicted_Close,Percentage_Deviation
1980-03-27,98.22,100.16086,1.9760303
1980-03-28,100.68,99.5465,-1.1258434
1980-03-31,102.09,100.244576,-1.8076413
1980-04-01,102.18,101.33514,-0.8268388
1980-04-02,102.68,102.04599,-0.6174623
1980-04-03,102.15,102.62033,0.46043006
1980-04-07,100.19,102.6896,2.4948554
1980-04-08,101.2,101.857025,0.64923733
1980-04-09,103.11,101.728775,-1.3395652
1980-04-10,104.08,102.50281,-1.5153672
1980-04-11,103.79,103.45424,-0.32350132
1980-04-14,102.84,103.90923,1.0397091
1980-04-15,102.63,103.72419,1.0661528
1980-04-16,101.54,103.46428,1.8950937
1980-04-17,101.05,102.8399,1.7712954
1980-04-18,100.55,102.25783,1.698483
1980-04-21,99.8,101.71777,1.9216135
1980-04-22,103.43,101.10573,-2.2471933
1980-04-23,103.73,102.28252,-1.395437
1980-04-24,104.4,103.21871,-1.1315035
1980-04-25,105.16,104.05456,-1.0512037
1980-04-28,105.64,104.81918,-0.77699363
1980-04-29,105.86,105.44161,-0.39522803
1980-04-30,106.29,105.874344,-0.39105943
1980-05-01,105.46,106.287025,0.78420866
1980-05-02,105.58,106.169815,0.558641
1980-05-05,106.38,106.12049,-0.2439427
1980-05-06,106.25,106.431564,0.17088407
1980-05-07,107.18,106.59284,-0.54782444
1980-05-08,106.13,107.08102,0.8960891
1980-05-09,104.72,106.935234,2.1153865
1980-05-12,104.78,106.21554,1.3700509
1980-05-13,106.3,105.773476,-0.4953221
1980-05-14,106.85,106.1804,-0.62667423
1980-05-15,106.99,106.725006,-0.247679
1980-05-16,107.35,107.124664,-0.20990607
1980-05-19,107.67,107.487946,-0.16908388
1980-05-20,107.62,107.81772,0.18371655
1980-05-21,107.72,107.97865,0.24011487
1980-05-22,109.01,108.09943,-0.83531404
1980-05-23,110.62,108.71099,-1.7257383
1980-05-27,111.4,109.783264,-1.4512902
1980-05-28,112.06,110.77303,-1.1484601
1980-05-29,110.27,111.61668,1.2212567
1980-05-30,111.24,111.3134,0.06598563
1980-06-02,110.76,111.46639,0.63776666
1980-06-03,110.51,111.36277,0.7716659
1980-06-04,112.61,111.204445,-1.2481624
1980-06-05,112.78,112.00721,-0.6852181
1980-06-06,113.2,112.612495,-0.51899433
1980-06-09,113.71,113.14414,-0.49763164
1980-06-10,114.66,113.645874,-0.8844668
1980-06-11,116.02,114.33061,-1.4561149
1980-06-12,115.52,115.31409,-0.17824596
1980-06-13,115.81,115.683624,-0.109121226
1980-06-16,116.09,115.97797,-0.09650274
1980-06-17,116.03,116.24541,0.18564881
1980-06-18,116.259995,116.37509,0.098999694
1980-06-19,114.66,116.54354,1.6427152
1980-06-20,114.06,115.95811,1.6641325
1980-06-23,114.51,115.32258,0.70961165
1980-06-24,115.14,115.14163,0.0014180045
1980-06-25,116.72,115.352165,-1.1718951
1980-06-26,116.19,116.192566,0.00220628
1980-06-27,116.0,116.4919,0.42404965
1980-06-30,114.23999,116.54527,2.0179296
1980-07-01,114.93,115.78032,0.7398581
1980-07-02,115.68,115.58014,-0.08632533
1980-07-03,117.46,115.81699,-1.3987786
1980-07-07,118.29,116.76948,-1.2854198
1980-07-08,117.84,117.725815,-0.09689538
1980-07-09,117.98,118.081154,0.085735306
1980-07-10,116.95,118.28644,1.1427456
1980-07-11,117.84,117.93067,0.07694785
1980-07-14,120.01,118.07412,-1.613101
1980-07-15,119.3,119.12011,-0.15079086
1980-07-16,119.63,119.49063,-0.116497666
1980-07-17,121.44,119.81132,-1.3411437
1980-07-18,122.04,120.746506,-1.0598944
1980-07-21,122.51,121.57843,-0.7604048
1980-07-22,122.19,122.25705,0.054871198
1980-07-23,121.93,122.483116,0.4536339
1980-07-24,121.79,122.462654,0.55230576
1980-07-25,120.78,122.368164,1.3149241
1980-07-28,121.43,121.87775,0.3687279
1980-07-29,122.4,121.86341,-0.438391
1980-07-30,122.23,122.30819,0.06396632
1980-07-31,121.67,122.53552,0.71137035
1980-08-01,121.21,122.413574,0.9929669
1980-08-04,120.98,122.11113,0.9349697
1980-08-05,120.74,121.82112,0.8954144
1980-08-06,121.55,121.55548,0.004506709
1980-08-07,123.3,121.762405,-1.2470379
1980-08-08,123.60999,122.67168,-0.75909424
1980-08-11,124.78,123.3769,-1.1244583
1980-08-12,123.79,124.27262,0.38987014
1980-08-13,123.28,124.34405,0.8631155
1980-08-14,125.25,124.10389,-0.9150583
1980-08-15,125.72,124.78241,-0.74577755
1980-08-18,123.39,125.43561,1.6578399
1980-08-19,122.59999,124.81649,1.8079115
1980-08-20,123.77,124.03402,0.21331732
1980-08-21,125.46,124.0659,-1.1111879
1980-08-22,126.02,124.88524,-0.90045863
1980-08-25,125.16,125.670296,0.40771174
1980-08-26,124.84,125.74578,0.7255564
1980-08-27,123.52,125.58616,1.6727349
1980-08-28,122.08,124.8874,2.2996361
1980-08-29,122.38,123.835045,1.1889588
1980-09-02,123.74,123.34739,-0.31728515
1980-09-03,126.12,123.70636,-1.913767
1980-09-04,125.42,125.02012,-0.3188323
1980-09-05,124.88,125.536026,0.5253273
1980-09-08,123.31,125.53896,1.8076116
1980-09-09,124.07,124.78873,0.57929164
1980-09-10,124.81,124.633934,-0.14106525
1980-09-11,125.66,124.90201,-0.6032115
1980-09-12,125.54,125.475975,-0.051000383
1980-09-15,125.67,125.7768,0.08498759
1980-09-16,126.74,125.98369,-0.59674096
1980-09-17,128.87,126.54609,-1.8032948
1980-09-18,128.4,127.810394,-0.45918977
1980-09-19,129.25,128.37112,-0.67998123
1980-09-22,130.4,129.0158,-1.061504
1980-09-23,129.43,129.8618,0.3336232
1980-09-24,130.37,129.9307,-0.33696446
1980-09-25,128.72,130.33252,1.2527332
1980-09-26,126.34999,129.84671,2.7674868
1980-09-29,123.54,128.49878,4.013905
1980-09-30,125.46,126.453865,0.79217756
1980-10-01,127.130005,126.095985,-0.8133559
1980-10-02,128.09,126.74305,-1.0515628
1980-10-03,129.33,127.64322,-1.3042471
1980-10-06,131.73,128.71199,-2.291054
1980-10-07,131.0,130.35144,-0.49508363
1980-10-08,131.65,130.97371,-0.51369905
1980-10-09,131.04001,131.5314,0.37499544
1980-10-10,130.29,131.53998,0.9593866
1980-10-13,132.03,131.18483,-0.6401341
1980-10-14,132.02,131.72087,-0.2265818
1980-10-15,133.7,132.08383,-1.2087997
1980-10-16,132.22,133.03969,0.61994165
1980-10-17,131.52,132.95934,1.0943819
1980-10-20,132.61,132.54817,-0.046624396
1980-10-21,131.84,132.74933,0.68972415
1980-10-22,131.92,132.56952,0.4923597
1980-10-23,129.53,132.50003,2.2929296
1980-10-24,129.85,131.41559,1.2056851
1980-10-27,127.88,130.88882,2.352852
1980-10-28,128.05,129.75563,1.3320011
1980-10-29,127.909996,129.17899,0.99209565
1980-10-30,126.29,128.8232,2.005856
1980-10-31,127.47,127.94995,0.37651992
1980-11-03,129.04,127.93918,-0.8530803
1980-11-05,131.33002,128.65964,-2.0333354
1980-11-06,128.91,130.12839,0.9451429
