Date,Actual_Close,Predicted_Close,Percentage_Deviation
1980-01-03,105.22,105.95742,
1980-01-04,106.52,105.418,
1980-01-07,106.81,106.716545,
1980-01-08,108.95,107.0063,
1980-01-09,109.05,109.14398,
1980-01-10,109.88999,109.24393,
1980-01-11,109.91999,110.08302,
1980-01-14,110.380005,110.11301,
1980-01-15,111.14,110.5725,
1980-01-16,111.05,111.331696,
1980-01-17,110.7,111.241905,
1980-01-18,111.07,110.89217,
1980-01-21,112.100006,111.26183,
1980-01-22,111.51,112.29074,
1980-01-23,113.439995,111.701324,
1980-01-24,113.7,113.629425,
1980-01-25,113.60999,113.88917,
1980-01-28,114.85,113.79929,
1980-01-29,114.07001,115.03808,
1980-01-30,115.19999,114.25885,
1980-01-31,114.16,115.38774,
1980-02-01,115.12,114.34875,
1980-02-04,114.369995,115.30784,
1980-02-05,114.66,114.558556,
1980-02-06,115.72,114.84829,
1980-02-07,116.28,115.90726,
1980-02-08,117.95,116.46673,
1980-02-11,117.12,118.13517,
1980-02-12,117.899994,117.305954,
1980-02-13,118.44,118.08525,
1980-02-14,116.72,118.62469,
1980-02-15,115.409996,116.90629,
1980-02-19,114.6,115.59753,
1980-02-20,116.47,114.78835,
1980-02-21,115.27999,116.65654,
1980-02-22,115.04,115.46771,
1980-02-25,113.329994,115.227875,
1980-02-26,113.98,113.51958,
1980-02-27,112.37999,114.16891,
1980-02-28,112.34999,112.57055,
1980-02-29,113.659996,112.540535,
1980-03-03,112.5,113.84925,
1980-03-04,112.78,112.69044,
1980-03-05,111.13,112.97012,
1980-03-06,108.65001,111.32176,
1980-03-07,106.90001,108.84432,
1980-03-10,106.51,107.096176,
1980-03-11,107.78001,106.70657,
1980-03-12,106.87001,107.975235,
1980-03-13,105.62,107.06623,
1980-03-14,105.42999,105.81758,
1980-03-17,102.26,105.627785,
1980-03-18,104.1,102.4613,
1980-03-19,104.30999,104.29923,
1980-03-20,103.12,104.50898,
1980-03-21,102.310005,103.32033,
1980-03-24,99.28,102.51126,
1980-03-25,99.189995,99.484764,
