Date,Close+1,Close_Direction,Volume,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1980-02-19,116.47000,1,39480000,52.61181,1.66991,1.98541,0,0,0,0,0,0,-3.98557,0,0,0,2,0,-0.25897,0,0,0,0,0
1980-02-20,115.28000,0,44340000,59.67233,1.59715,1.90775,0,0,0,0,0,0,7.06051,0,0,0,3,0,-0.07276,0,0,0,0,0
1980-02-21,115.04000,0,51530000,54.14385,1.42702,1.81161,0,0,0,0,0,0,-5.52848,0,0,0,4,0,-0.17013,0,0,0,0,0
1980-02-22,113.33000,0,48210000,53.07584,1.25832,1.70095,0,0,0,0,0,0,-1.06801,0,0,0,5,0,-0.16870,0,0,0,0,0
1980-02-25,113.98000,1,39140000,46.09857,0.97540,1.55584,0,0,0,0,0,0,-6.97727,0,0,0,6,0,-0.28292,0,0,0,0,0
1980-02-26,112.38000,0,40000000,48.85108,0.79447,1.40357,0,0,0,0,0,0,2.75250,0,0,0,7,0,-0.18093,0,0,0,0,0
1980-02-27,112.35000,0,46430000,43.02660,0.51603,1.22606,0,0,0,0,0,0,-5.82448,0,0,0,8,0,-0.27844,0,1,0,1,0
1980-02-28,113.66000,1,40330000,42.92327,0.28960,1.03877,0,0,0,0,0,0,-0.10333,0,0,0,9,0,-0.22643,0,0,0,0,0
1980-02-29,112.50000,0,38810000,48.71549,0.21340,0.87369,0,0,0,0,0,0,5.79222,0,0,0,10,0,-0.07620,0,0,0,0,0
1980-03-03,112.78000,1,38690000,44.41709,0.05873,0.71070,0,0,0,0,0,0,-4.29841,0,0,0,11,0,-0.15467,0,0,0,0,0
1980-03-04,111.13000,0,44310000,45.66337,-0.04078,0.56041,0,0,0,0,0,0,1.24628,0,0,0,12,0,-0.09951,0,0,0,0,0
1980-03-05,108.65000,0,49240000,39.97515,-0.24990,0.39834,0,0,0,0,0,0,-5.68822,0,0,0,13,0,-0.20912,0,0,0,0,0
1980-03-06,106.90000,0,49610000,33.26738,-0.60873,0.19693,0,0,0,0,0,0,-6.70777,0,0,0,14,0,-0.35883,0,1,0,1,0
1980-03-07,106.51000,0,50950000,29.50505,-1.02253,-0.04696,0,1,0,1,0,1,-3.76232,0,0,0,15,0,-0.41380,0,1,0,2,0
1980-03-10,107.78000,1,43750000,28.72538,-1.36619,-0.31081,0,1,0,2,0,0,-0.77968,0,0,0,16,0,-0.34366,0,1,0,3,0
1980-03-11,106.87000,0,41350000,34.77024,-1.51856,-0.55236,0,0,0,0,0,0,6.04487,0,0,0,17,0,-0.15237,0,0,0,0,0
1980-03-12,105.62000,0,37990000,32.63450,-1.69322,-0.78053,0,0,0,0,0,0,-2.13575,0,0,0,18,0,-0.17466,0,0,0,0,0
1980-03-13,105.43000,0,33070000,29.91616,-1.91049,-1.00652,0,1,0,1,0,1,-2.71834,0,0,0,19,0,-0.21726,0,0,0,0,0
1980-03-14,102.26000,0,35180000,29.51373,-2.07409,-1.22004,0,1,0,2,0,0,-0.40242,0,0,0,20,0,-0.16361,0,0,0,0,0
