Date,Vorhergesagt,Tatsächlich,Differenz
2015-12-21,1909.4651788163264,1922.913515184814,-13.448336368487617
2015-12-22,1923.5363178614398,1940.7334744229047,-17.197156561464908
2015-12-23,1940.777607265636,1966.053368954772,-25.275761689135834
2015-12-24,1964.098990147254,1962.7534680380586,1.3455221091953717
2015-12-28,1960.11432404272,1958.2633926185645,1.850931424155533
2015-12-29,1952.2533820954004,1980.1234488116597,-27.870066716259316
2015-12-30,1979.1295771933483,1965.1235782241065,14.005998969241773
2015-12-31,1961.2413003147094,1945.7033621085748,15.53793820613464
2016-01-04,1945.057080759616,1914.4234154315154,30.633665328100506
2016-01-05,1905.4928699077573,1918.473398143292,-12.98052823553462
2016-01-06,1920.2817855070543,1892.0233497747586,28.258435732295766
2016-01-07,1887.510325277044,1844.8534613379388,42.65686393910528
2016-01-08,1847.5192615702872,1823.7934453178786,23.72581625240855
2016-01-11,1832.9734296687548,1825.433421753778,7.540007914976741
2016-01-12,1824.2323023059998,1840.443531160845,-16.211228854845103
2016-01-13,1843.6189774610557,1792.0433956000443,51.575581861011415
2016-01-14,1799.0839962666723,1823.6033210313917,-24.519324764719386
2016-01-15,1824.1906409024614,1782.0933814091904,42.09725949327094
2016-01-19,1776.7573676602206,1783.0934316254843,-6.336063965263747
2016-01-20,1791.6301356607073,1761.093386055245,30.53674960546232
2016-01-21,1745.2140361777401,1770.753359203668,-25.539323025927843
2016-01-22,1783.7790794701596,1808.6634711099532,-24.884391639793648
2016-01-25,1809.1046230058964,1778.843438870449,30.261184135447365
2016-01-26,1781.6347529075256,1805.3934039949263,-23.75865108740072
2016-01-27,1806.9664750412448,1784.7132834850981,22.253191556146703
2016-01-28,1786.7695208936402,1795.1233384285842,-8.353817534944028
2016-01-29,1795.8864835450959,1842.003362354344,-46.11687880924819
2016-02-01,1837.9011263567736,1841.1434780465652,-3.242351689791576
2016-02-02,1834.770695556149,1804.79337386515,29.977321690998906
2016-02-03,1803.3151001650185,1814.2934095915143,-10.978309426495798
2016-02-04,1805.1748581577203,1817.2134149979956,-12.038556840275305
2016-02-05,1818.7282306919087,1781.8134026549023,36.91482803700637
2016-02-08,1779.0852868486172,1755.2034168643104,23.88186998430683
2016-02-09,1747.9679255641804,1753.9733462717004,-6.005420707519988
2016-02-10,1757.1164873310317,1753.6234610945257,3.4930262365060116
2016-02-11,1763.5318138818411,1730.843323396166,32.688490485675175
2016-02-12,1722.6805128045635,1766.5434390698329,-43.86292626526938
2016-02-16,1770.0638276688323,1797.3433969493453,-27.279569280512987
2016-02-17,1795.7717381539942,1828.5834475365755,-32.811709382581284
2016-02-18,1826.3249051769526,1819.5934109408154,6.731494236137223
2016-02-19,1817.2393651095217,1819.5434525628434,-2.3040874533216993
2016-02-22,1812.3570369838308,1847.263467613816,-34.90643062998515
2016-02-23,1846.5109143795598,1823.0334777660437,23.477436613516147
2016-02-24,1818.8735160101805,1831.5634736091715,-12.689957598990986
2016-02-25,1819.66102245588,1853.463425892096,-33.80240343621608
2016-02-26,1850.4337945042698,1849.813463266837,0.6203312374327652
2016-02-29,1849.9329750049537,1833.9934279299632,15.939547074990514
2016-03-01,1834.3155976819025,1880.1133077725171,-45.7977100906146
2016-03-02,1873.3869329461368,1888.213449727441,-14.826516781304235
2016-03-03,1878.9298414618315,1895.1634898007842,-16.233648338952662
2016-03-04,1886.9046461433982,1901.753405877439,-14.848759734040868
2016-03-07,1896.5462600292449,1903.5234859337106,-6.97722590446574
2016-03-08,1894.3823384844382,1881.0235035210098,13.358834963428308
2016-03-09,1876.4054428575946,1891.0234760898356,-14.618033232241032
2016-03-10,1888.71674066595,1891.3332886458102,-2.6165479798601154
2016-03-11,1886.0580016884387,1923.9532849595662,-37.89528327112748
2016-03-14,1921.2618876784336,1921.403465837916,-0.1415781594823784
2016-03-15,1915.2266331692272,1917.6934825465423,-2.4668493773151567
2016-03-16,1910.1961952233296,1928.983369842722,-18.787174619392317
2016-03-17,1924.5407813620068,1942.3533262825185,-17.812544920511755
2016-03-18,1936.638652742913,1951.3435394096496,-14.704886666736456
2016-03-21,1947.8491009221761,1953.3635878871519,-5.514486964975731
2016-03-22,1944.536666278127,1951.563497497823,-7.0268312196958505
2016-03-23,1946.5784281142533,1938.4733432809435,8.105084833309775
2016-03-24,1934.895758517764,1937.7033134409658,-2.8075549232016783
2016-03-28,1929.9705332689382,1938.8135192327172,-8.842985963779029
2016-03-29,1938.0240709419377,1956.773467847952,-18.749396906014226
2016-03-30,1949.6267718273975,1965.7133695343691,-16.086597706971588
2016-03-31,1966.0655496193658,1961.503449400534,4.562100218831802
2016-04-01,1957.1025223233573,1974.5434687080706,-17.440946384713243
2016-04-04,1964.1598934702233,1967.89335543393,-3.733461963706759
2016-04-05,1964.899030320289,1946.9334327011848,17.9655976191043
2016-04-06,1942.84373043095,1968.423302609449,-25.579572178498893
2016-04-07,1963.9418772271301,1943.6734278743006,20.26844935282952
2016-04-08,1938.9965822643671,1949.3633870219765,-10.366804757609316
2016-04-11,1953.234896517747,1943.75339658533,9.481499932417137
2016-04-12,1946.2070061098257,1963.4834252568362,-17.27641914701053
2016-04-13,1959.6232137688048,1984.183317280208,-24.560103511403213
2016-04-14,1981.6200817743675,1984.5434412768964,-2.9233595025289105
2016-04-15,1980.4639778261753,1982.4933824663367,-2.029404640161374
2016-04-18,1977.9090392947683,1996.1034215705922,-18.194382275823955
2016-04-19,1988.2767267092322,2002.5634105582458,-14.28668384901357
2016-04-20,1998.9522848345905,2004.163314372945,-5.2110295383545235
